No,actBeginTm,actEndTm,actPlace,adultPosblAt,gugunCd,nanmmbyNm,noticeBgnde,noticeEndde,progrmBgnde,progrmEndde,progrmRegistNo,progrmSj,progrmSttusSe,sidoCd,srvcClCode,url,yngbgsPosblAt,gugunNm,sidoNm
3457,13,17,광희초등학교 내 광희초센터,Y,3010000,중구시설관리공단 광희초 돌봄센터,20231030,20240130,20231101,20240131,3055226,중구형 초등돌봄 광희초센터 이용아동 교육활동 지원봉사자 모집,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3055226,N,중구,서울특별시
3458,13,18,참신나는학교 지역아동센터(서울시 종로구),Y,3000000,참신나는학교 지역아동센터,20230829,20231130,20230901,20231130,3027895,참신나는학교 지역아동센터에서 방과 후 학습을 도와줄 자원봉사자를 모집합니다.,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3027895,Y,종로구,서울특별시
3459,13,19,종로구 5호점 우리동네키움센터,Y,3000000,종로구 5호점 우리동네키움센터,20230913,20231130,20231002,20231229,3034717,"초등학생 저학년, 고학년 돌봄 교육 봉사",2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3034717,N,종로구,서울특별시
3460,19,21,서울특별시 종로구 혜화로6길 80 이야기교육공동체 2층 초록문,Y,3000000,이야기교육공동체,20231110,20231130,20231101,20240201,3060719,청소년방과후 공부방 학습 지도(고등수학 下),2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3060719,N,종로구,서울특별시
3461,10,12,1층 놀이터도서관 ,Y,5690001,소담유치원,20230907,20231215,20230918,20231215,3032165,"2학기 소담유치원 꿈담책방 도서 동아리 책 읽어주기, 도서 정리 등[소담유치원 학부모 대상]",2,5690000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3032165,N,세종시,세종특별자치시
3462,9,17,세종특별자치시 나성로 133-15 애플타워 801호,Y,5690001,세종대안교육센터 가온누리,20230927,20231231,20231004,20231231,3042033,학생 수업보조,2,5690000,교육 > 학습지도 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3042033,N,세종시,세종특별자치시
3463,1,5,강북구2호점 우리동네키움센터,Y,3080000,강북구2호점 우리동네키움센터,20230822,20231124,20230901,20231130,3024370,"아동 놀이돌봄, 과제 및 독서 지도",2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3024370,N,강북구,서울특별시
3464,15,18,강북구8호점 우리동네키움센터,Y,3080000,강북구8호점 우리동네키움센터,20230913,20231130,20230918,20231130,3034687,[강북구8호점 우리동네 키움센터] 2023년 초등학생 돌봄을 함께할 자원봉사자 선생님을 모집합니다.,3,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3034687,N,강북구,서울특별시
3465,14,18,우리동네 키움센터 강북4호점,Y,3080000,강북구 수유1동 우리동네키움센터 강북4호점,20231016,20231215,20231101,20231229,3046373,[우리동네 키움센터 강북4호점] 2학기  11월-12월 자원 봉사자 모집,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3046373,N,강북구,서울특별시
3466,15,18,강북구 3호점 우리동네키움센터 ,Y,3080000,강북구3호점 우리동네키움센터,20231031,20231220,20231122,20231221,3055652,강북구 3호점 우리동네키움센터 돌봄보조 및 학습멘토 봉사자 모집^^(오후),2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3055652,N,강북구,서울특별시
3467,13,16,서울시 성북구 장위로 40다길 10 성북4호점 우리동네키움센터,Y,3070000,우리동네키움센터성북4호점,20230717,20231130,20230901,20231130,3009614,"초등학생 교육 및 활동지원, 정서지원",2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3009614,N,성북구,서울특별시
3468,10,12,"서울시 성북구 월곡로 14길 24, 월곡래미안 루나밸리상가 206호",Y,3070000,(사)서울장애인부모연대 성북지회,20231101,20231124,20231104,20231125,3056142,"발달장애인 초등학생 놀이, 학습, 프로그램 지도 및 보조를 해주실 성인 봉사자를 모집합니다.",3,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3056142,N,성북구,서울특별시
3469,16,20,"중랑구6호점 묵1동우리동네키움센터 내, 활동 필요 시 인근 놀이터 및 실외공간",Y,3060000,중랑6호점 묵1동우리동네키움센터,20230915,20231215,20230915,20231215,3036123,중랑구6호점 묵1동우리동네키움센터 놀이지원 및 프로그램 보조 자원봉사자 모집,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3036123,N,중랑구,서울특별시
3470,16,19,"서울 동대문구 답십리로141, 지하1층 동대문구4호점우리동네키움센터",Y,3050000,동대문구4호점 우리동네키움센터,20231101,20231222,20231103,20231229,3057707,우리동네키움센터 돌봄봉사자 모집합니다.,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3057707,N,동대문구,서울특별시
3471,12,16,"서울시 광진구 아차산로 390, 제일빌딩 (사)서울장애인부모연대 광진지회 프로그램실 ",Y,3040000,(사)서울장애인부모연대광진지회,20231006,20231230,20231007,20231230,3044680,청소년 발달장애학생 방과후활동서비스 외부활동 지원,3,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3044680,Y,광진구,서울특별시
3472,13,16,꽃재아이꿈누리터 내,Y,3030000,꽃재아이꿈누리터,20230912,20231208,20230918,20231215,3033970,초등돌봄센터 돌봄 및 프로그램 보조 등 교육 및 자원봉사(날짜 및 시간 조절 가능),2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3033970,N,성동구,서울특별시
3473,14,18,"동작구 양녕로29길 50, 신상도우리동네키움센터 내",Y,3190000,신상도 우리동네키움센터,20230907,20231130,20230911,20231130,3032148,초등학생 방과 후 돌봄 자원봉사자 모집,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3032148,N,동작구,서울특별시
3474,15,17,복지관 4층 대강당,Y,3180000,서울시립영등포장애인복지관,20230905,20231205,20230905,20231205,3026141,[서울시립영등포장애인복지관]초중고 방과후활동 그룹체육,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3026141,N,영등포구,서울특별시
3475,14,17,세광방과후 교실,Y,3170000,세광방과후교실,20230918,20231222,20231004,20231222,3036852,초등학교 1학년 - 중학교 1학년 수업 일대일 학습지도,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3036852,Y,금천구,서울특별시
3476,15,17,서울시 금천구 독산로 119 3층 금천행복한 지역아동센터,Y,3170000,금천행복한지역아동센터,20231005,20231231,20231009,20231231,3044041,초등학생 체육활동 지도 봉사,2,6110000,교육 > 방과후 교육,https://1365.go.kr/vols/P9210/partcptn/timeCptn.do?type=show&progrmRegistNo=3044041,N,금천구,서울특별시
